Instrument,Issuer Rating,Date,Rating Type,Rating Source,Rating Rank
5000021791,F1,11/05/2012,PTY,FCP,2
5000021791,A3,21/06/2012,PTY,MBD,7
5000021791,A2,21/06/2012,PTY,MIS,6
5000021791,A2,21/06/2012,PTY,MSU,6
5000021791,Baa1,14/11/2013,PTY,MBD,8
5000021791,A3,14/11/2013,PTY,MIS,7
5000021791,(P)Baa1,14/11/2013,PTY,MMO,8
5000021791,(P)P-2,14/11/2013,PTY,MMT,2
5000021791,(P)A3,14/11/2013,PTY,MMU,7
5000021791,A3,14/11/2013,PTY,MSU,7
5000021791,A,26/03/2014,PTY,FBD,7
5000021791,A,26/03/2014,PTY,FMO,7
5000021791,A+,26/03/2014,PTY,FMU,6
5000021791,A+,26/03/2014,PTY,FSU,6
5000021791,A (high),27/06/2014,PTY,DIS,5
5000021791,WD,06/11/2014,PTY,FMU,98
5000021791,A+,25/11/2014,PTY,FMU,6
5000021791,WD,02/03/2015,PTY,FMU,98
5000021791,WR,16/03/2015,PTY,MBU,98
5000021791,WD,01/05/2015,PTY,FMO,98
5000021791,P-2,28/05/2015,PTY,MCP,2
5000021791,A1+,20/01/2016,PTY,EJC,1
5000021791,A+,20/01/2016,PTY,EJU,5
5000021791,F1,14/06/2016,PTY,FDT,2
5000021791,AA (low),21/12/2016,PTY,DIS,4
5000021791,A1,21/07/2017,PTY,EJC,2
5000021791,R-1 (middle),02/08/2017,PTY,DSS,2
5000021791,WD,10/11/2017,PTY,FBD,98
5000021791,WD,10/11/2017,PTY,FSU,98
5000021791,Baa2,06/12/2017,PTY,MJB,9
5000021791,BBB,18/12/2017,PTY,FJB,10
5000021791,A+,21/06/2018,PTY,FBD,6
5000021791,F1+,21/06/2018,PTY,FDT,1
5000021791,BBB+,21/06/2018,PTY,FJB,9
5000021791,AA-,21/06/2018,PTY,FSU,5
5000021791,WD,01/09/2018,PTY,FDT,98
5000021791,A3,25/10/2018,PTY,MBD,7
5000021791,P-1,25/10/2018,PTY,MCP,1
5000021791,A2,25/10/2018,PTY,MIS,6
5000021791,Baa1,25/10/2018,PTY,MJB,8
5000021791,(P)A3,25/10/2018,PTY,MMO,7
5000021791,(P)P-1,25/10/2018,PTY,MMT,1
5000021791,(P)A2,25/10/2018,PTY,MMU,6
5000021791,A2,25/10/2018,PTY,MSU,6
5000021791,F1+,12/06/2019,PTY,FCP,1
5000021791,A1+,11/02/2020,PTY,EJC,1
5000021791,AA-,11/02/2020,PTY,EJU,4
5000021791,A1,26/03/2020,PTY,EJC,2
5000021791,A-,26/03/2020,PTY,EJU,7
5000021791,A,22/04/2020,PTY,FBD,7
5000021791,AA-,21/09/2020,PTY,FMU,5
5000021791,A,23/04/2021,PTY,FMO,7
5000021791,A,29/04/2022,PTY,EJU,6
5000021791,A1,29/09/2022,PTY,MIS,5
5000021791,(P)A1,29/09/2022,PTY,MMU,5
5000021791,A1,29/09/2022,PTY,MSU,5
5000021791,P-1,01/05/2023,PTY,MTD,1
8589934339,Baa1,21/09/2011,PTY,MIS,8
8589934339,(P)P-2,21/09/2011,PTY,MMT,2
8589934339,F1,15/12/2011,PTY,FCP,2
8589934339,WR,30/04/2012,PTY,MBU,98
8589934339,Baa3,21/06/2012,PTY,MBD,10
8589934339,Baa2,21/06/2012,PTY,MIS,9
8589934339,(P)Baa3,21/06/2012,PTY,MMO,10
8589934339,(P)Baa2,21/06/2012,PTY,MMU,9
8589934339,Baa2,21/06/2012,PTY,MSU,9
8589934339,A,01/10/2013,PTY,REM,6
8589934339,A-,28/11/2013,PTY,REM,7
8589934339,A (low),10/12/2013,PTY,DIS,7
8589934339,BBB+,26/03/2014,PTY,FBD,9
8589934339,A,26/03/2014,PTY,FMU,7
8589934339,A,26/03/2014,PTY,FSU,7
8589934339,A-,31/03/2014,PTY,RII,7
8589934339,A-,29/08/2014,PTY,REM,7
8589934339,A-,29/08/2014,PTY,RII,7
8589934339,WD,15/11/2014,PTY,FSU,98
8589934339,A,25/11/2014,PTY,FSU,7
8589934339,A-,19/05/2015,PTY,FBD,8
8589934339,P-2,28/05/2015,PTY,MCP,2
8589934339,Baa1,28/05/2015,PTY,MIS,8
8589934339,(P)Baa1,28/05/2015,PTY,MMU,8
8589934339,Baa1,28/05/2015,PTY,MSU,8
8589934339,WD,01/06/2015,PTY,FMU,98
8589934339,A-,06/11/2015,PTY,REM,7
8589934339,A-,06/11/2015,PTY,RII,7
8589934339,A1+,04/02/2016,PTY,EJC,1
8589934339,A,04/02/2016,PTY,EJU,6
8589934339,F1,14/06/2016,PTY,FDT,2
8589934339,A-,14/06/2016,PTY,FMO,8
8589934339,A,01/12/2016,PTY,DIS,6
8589934339,A-,09/12/2016,PTY,REM,7
8589934339,A-,09/12/2016,PTY,RII,7
8589934339,A,13/01/2017,PTY,FMU,7
8589934339,A1,21/07/2017,PTY,EJC,2
8589934339,R-1 (low),02/08/2017,PTY,DSS,3
8589934339,WD,25/10/2017,PTY,FBD,98
8589934339,Baa2,06/12/2017,PTY,MBD,9
8589934339,A3,06/12/2017,PTY,MIS,7
8589934339,(P)Baa2,06/12/2017,PTY,MMO,9
8589934339,(P)A3,06/12/2017,PTY,MMU,7
8589934339,A3,06/12/2017,PTY,MSU,7
8589934339,A-,19/12/2017,PTY,REM,7
8589934339,A-,19/12/2017,PTY,RII,7
8589934339,A,21/06/2018,PTY,FBD,7
8589934339,A+,21/06/2018,PTY,FMU,6
8589934339,A+,21/06/2018,PTY,FSU,6
8589934339,WD,01/09/2018,PTY,FDT,98
8589934339,A (high),07/11/2018,PTY,DIS,5
8589934339,Baa3,07/12/2018,PTY,MJB,10
8589934339,A-,19/12/2018,PTY,REM,7
8589934339,A-,19/12/2018,PTY,RII,7
8589934339,A1+,29/01/2019,PTY,EJC,1
8589934339,Baa1,06/03/2019,PTY,MBD,8
8589934339,P-1,06/03/2019,PTY,MCP,1
8589934339,A2,06/03/2019,PTY,MIS,6
8589934339,Baa2,06/03/2019,PTY,MJB,9
8589934339,(P)Baa1,06/03/2019,PTY,MMO,8
8589934339,(P)P-1,06/03/2019,PTY,MMT,1
8589934339,(P)A2,06/03/2019,PTY,MMU,6
8589934339,A2,06/03/2019,PTY,MSU,6
8589934339,A1,15/05/2019,PTY,EJC,2
8589934339,WR,17/05/2019,PTY,MMT,98
8589934339,R-1 (middle),19/12/2019,PTY,DSS,2
8589934339,A,20/12/2019,PTY,REM,6
8589934339,A,20/12/2019,PTY,RII,6
8589934339,A1+,04/02/2020,PTY,EJC,1
8589934339,A-,22/04/2020,PTY,FBD,8
8589934339,A1,08/05/2020,PTY,EJC,2
8589934339,A-,08/05/2020,PTY,EJU,7
8589934339,A,18/12/2020,PTY,REM,6
8589934339,A,18/12/2020,PTY,RII,6
8589934339,A,07/06/2021,PTY,FBD,7
8589934339,F1+,07/06/2021,PTY,FCP,1
8589934339,AA-,07/06/2021,PTY,FMU,5
8589934339,AA-,07/06/2021,PTY,FSU,5
8589934339,A,04/08/2021,PTY,FMO,7
8589934339,AA (low),13/12/2022,PTY,DIS,4
8589934339,A,16/12/2022,PTY,REM,6
8589934339,A,16/12/2022,PTY,RII,6
8589934339,A3,03/05/2023,PTY,MBD,7
8589934339,A1,03/05/2023,PTY,MIS,5
8589934339,Baa1,03/05/2023,PTY,MJB,8
8589934339,(P)A3,03/05/2023,PTY,MMO,7
8589934339,(P)A1,03/05/2023,PTY,MMU,5
