BondID,PermID,ISIN,IssuePrice,IssueDate,IssueRating,IssueRatingSourceCode,AssetStatusDescription,CouponFrequency,CouponRate,CouponCurrency,DebtTypeDescription,DenominationMinimum,FaceIssuedTotal,FaceIssuedUSD,FaceOutstanding,FaceOutstandingDate,FaceOutstandingUSD,Currency,MoodysRating,MoodysRatingDate,SPRating,SPRatingDate,IssuerOAPermID,SeniorityTypeDescription,FitchsRating,FitchsRatingDate,SPIssuerRating,MoodyIssuerRating,FitchIssuerRating,RIC,Maturity
15629769611,4295872108,XS0326368379,100,31/10/2007,WR,MDY,In Default,4,9,USD,Senior Note,2000,400000000,400000000,400000000,31/10/2007,400000000,USD,WR,13/07/2010,No Permission,,4295872108,Senior Unsecured,WD,08/01/2009,,,WD,IS032636837=,NULL
15628378518,4295884647,,99.647,01/03/1996,,,Expired/Matured,2,7.125,USD,Senior Note,1000,75000000,75000000,0,01/03/2003,0,USD,Aa3,08/09/2000,No Permission,,4295884647,Senior Unsecured,A+,11/09/2000,No Permission,,,,Unable to resolve all requested identifiers.
2.32777E+11,5000938266,,100,02/09/2021,,,Issued,2,0.7,USD,Senior Note,200000,50000000,50000000,50000000,02/09/2021,50000000,USD,,02/09/2021,No Permission,,5000938266,Senior Unsecured,,,,,,,No universe defined.
15628425025,4295906733,,100,16/01/1998,BBB+,FTC,Expired/Matured,2,7.08,USD,Senior Note,1000,50000000,50000000,0,16/01/2008,0,USD,NR,16/01/1998,No Permission,,4295906733,Senior Unsecured,BBB+,26/12/2000,No Permission,,WD,,No universe defined.
15628422172,8589934326,,,20/05/1997,,,Expired/Matured,0,6.15,USD,Senior Note,,50000000,50000000,0,20/05/1998,0,USD,Aa3,20/05/1997,No Permission,,8589934326,Senior Unsecured,,,No Permission,Aa3,WD,,No universe defined.
15628422174,8589934326,,,16/09/1997,,,Expired/Matured,0,6.01,USD,Senior Note,,100000000,100000000,0,16/09/1998,0,USD,Aa3,16/09/1997,No Permission,,8589934326,Senior Unsecured,,,No Permission,Aa3,WD,,No universe defined.
15628353086,4296457498,,100,12/12/1994,,,Expired/Matured,2,7.4,USD,Senior Note,1000,500000000,500000000,0,15/12/1995,0,USD,Aa2,12/12/1994,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628354399,4296457498,,100,17/02/1995,,,Expired/Matured,2,7.05,USD,Senior Note,1000,500000000,500000000,0,01/03/1996,0,USD,Aa2,17/02/1995,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628356784,4296457498,,100,15/05/1995,,,Expired/Matured,2,6.45,USD,Senior Note,500000,100000000,100000000,0,15/05/1996,0,USD,Aa2,15/05/1995,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628377781,4296457498,,,16/12/1994,,,Expired/Matured,2,7.8,USD,Senior Note,1000,50000000,50000000,0,16/12/1996,0,USD,Aa2,01/06/1996,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628382441,4296457498,,,25/10/1996,,,Expired/Matured,0,5.88,USD,Senior Note,1000,100000000,100000000,0,27/10/1997,0,USD,Aa2,25/10/1996,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628383280,4296457498,,100,21/11/1996,,,Expired/Matured,0,5.5,USD,Senior Note,1000,500000000,500000000,0,21/11/1997,0,USD,Aa2,21/11/1996,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628388196,4296457498,,,26/11/1996,,,Expired/Matured,0,5.5,USD,Senior Note,1000,500000000,500000000,0,26/11/1997,0,USD,Aa2,01/01/1997,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628391727,4296457498,,100,01/11/1996,,,Expired/Matured,0,5.64,USD,Senior Note,1000,100000000,100000000,0,03/11/1997,0,USD,Aa2,01/06/1997,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628402003,4296457498,,99.9808,05/02/1998,,,Expired/Matured,0,5.5,USD,Senior Note,5000000,500000000,500000000,0,05/02/1999,0,USD,Aa2,05/02/1998,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628406890,4296457498,,,22/12/1997,,,Expired/Matured,0,5.875,USD,Senior Note,1000,500000000,500000000,0,22/12/1998,0,USD,Aa2,01/06/1998,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628408734,4296457498,,,01/06/1998,,,Expired/Matured,0,5.645,USD,Senior Note,1000,250000000,250000000,0,01/06/1999,0,USD,Aa2,01/06/1998,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628409078,4296457498,,100,27/07/1998,,,Expired/Matured,0,5.65,USD,Senior Note,1000,500000000,500000000,0,27/07/1999,0,USD,Aa2,27/07/1998,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628409079,4296457498,,,19/08/1998,,,Expired/Matured,0,5.58,USD,Senior Note,1000,250000000,250000000,0,19/08/1999,0,USD,Aa2,19/08/1998,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628409080,4296457498,,100,25/08/1998,,,Expired/Matured,0,5.58,USD,Senior Note,1000,250000000,250000000,0,25/08/1999,0,USD,Aa2,25/08/1998,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15631233075,4296457498,,,02/02/1998,,,Expired/Matured,1,5.5,USD,Senior Note,5000000,500000000,500000000,0,02/02/1999,0,USD,Aa2,02/02/1998,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15631233079,4296457498,,100,27/02/1996,,,Expired/Matured,1,5.08,USD,Senior Note,1000,200000000,200000000,0,27/02/1997,0,USD,Aa2,05/02/1996,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15631233080,4296457498,,100,01/03/1996,,,Expired/Matured,2,5.045,USD,Senior Note,1000,300000000,300000000,0,03/03/1997,0,USD,Aa2,05/02/1996,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15631233098,4296457498,,100,26/01/1998,,,Expired/Matured,1,5.55,USD,Senior Note,5000000,1000000000,1000000000,0,26/01/1999,0,USD,Aa2,27/10/1997,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628432387,4296457498,,,08/01/1999,,,Expired/Matured,0,4.99,USD,Senior Note,5000000,500000000,500000000,0,10/01/2000,0,USD,Aa2,08/01/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628432388,4296457498,,,13/01/1999,,,Expired/Matured,0,5.075,USD,Senior Note,1000,500000000,500000000,0,13/01/2000,0,USD,Aa2,13/01/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628432836,4296457498,,,03/02/1999,,,Expired/Matured,0,4.95,USD,Senior Note,5000000,400000000,400000000,0,03/02/2000,0,USD,Aa2,03/02/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628433044,4296457498,,,08/02/1999,,,Expired/Matured,0,5.04,USD,Senior Note,5000000,200000000,200000000,0,08/02/2000,0,USD,Aa2,08/02/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628434017,4296457498,,,01/03/1999,,,Expired/Matured,0,5.24,USD,Senior Note,5000000,150000000,150000000,0,01/03/2000,0,USD,Aa2,01/03/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628434019,4296457498,,,01/03/1999,,,Expired/Matured,0,5.255,USD,Senior Note,5000000,200000000,200000000,0,01/03/2000,0,USD,Aa2,01/03/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628434020,4296457498,,,01/03/1999,,,Expired/Matured,0,5.25,USD,Senior Note,5000000,250000000,250000000,0,01/03/2000,0,USD,Aa2,01/03/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628434021,4296457498,,,01/03/1999,,,Expired/Matured,0,5.23,USD,Senior Note,5000000,100000000,100000000,0,01/03/2000,0,USD,Aa2,01/03/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628457753,4296457498,,,15/04/1999,Aa2,MDY,Expired/Matured,0,5.05,USD,Senior Note,5000000,300000000,300000000,0,17/04/2000,0,USD,Aa2,06/05/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628457763,4296457498,,,22/04/1999,Aa2,MDY,Expired/Matured,0,5.14,USD,Senior Note,5000000,500000000,500000000,0,25/04/2000,0,USD,Aa2,06/05/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628457769,4296457498,,,04/05/1999,AA,DOM,Expired/Matured,0,5.13,USD,Senior Note,5000,1000000000,1000000000,0,04/05/2000,0,USD,Aa2,04/05/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628458051,4296457498,,,12/05/1999,AA,DOM,Expired/Matured,0,5.185,USD,Senior Note,5000,500000000,500000000,0,12/05/2000,0,USD,Aa2,12/05/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628458054,4296457498,,,11/05/1999,AA,DOM,Expired/Matured,0,5.22,USD,Senior Note,5000,500000000,500000000,0,11/05/2000,0,USD,Aa2,11/05/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628460258,4296457498,,,19/05/1999,AA,DOM,Expired/Matured,0,5.23,USD,Senior Note,100000,250000000,250000000,0,19/05/2000,0,USD,Aa2,19/05/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628460701,4296457498,,,21/05/1999,AA,DOM,Expired/Matured,0,5.29,USD,Senior Note,100000,93000000,93000000,0,22/05/2000,0,USD,Aa2,25/05/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628465958,4296457498,,,22/07/1999,AA,DOM,Expired/Matured,0,5.65,USD,Senior Note,100000,225000000,225000000,0,24/07/2000,0,USD,Aa2,27/07/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628466053,4296457498,,,23/07/1999,AA,DOM,Expired/Matured,0,5.65,USD,Senior Note,100000,62000000,62000000,0,24/07/2000,0,USD,Aa2,27/07/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628466330,4296457498,,,28/07/1999,AA,DOM,Expired/Matured,0,5.71,USD,Senior Note,100000,329000000,329000000,0,28/07/2000,0,USD,Aa2,28/07/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628466641,4296457498,,,03/08/1999,AA,DOM,Expired/Matured,0,5.8,USD,Senior Note,100000,250000000,250000000,0,03/08/2000,0,USD,Aa2,03/08/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628467507,4296457498,,,09/08/1999,AA,DOM,Expired/Matured,0,5.91,USD,Senior Note,100000,31000000,31000000,0,09/08/2000,0,USD,Aa2,09/08/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628467933,4296457498,,,17/08/1999,AA,DOM,Expired/Matured,0,5.96,USD,Senior Note,100000,150000000,150000000,0,17/08/2000,0,USD,Aa2,17/08/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628477994,4296457498,,,25/10/1999,AA,DOM,Expired/Matured,0,6.22,USD,Senior Note,100000,100000000,100000000,0,25/10/2000,0,USD,Aa2,25/10/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628492020,4296457498,,,18/10/1999,AA,DOM,Expired/Matured,0,6.18,USD,Senior Note,100000,50000000,50000000,0,18/10/2000,0,USD,Aa2,18/10/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628492021,4296457498,,,18/10/1999,AA,DOM,Expired/Matured,0,6.19,USD,Senior Note,100000,100000000,100000000,0,18/10/2000,0,USD,Aa2,18/10/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628496924,4296457498,,,19/11/1999,AA,DOM,Expired/Matured,0,6.03,USD,Senior Note,100000,100000000,100000000,0,20/11/2000,0,USD,Aa2,19/11/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628496966,4296457498,,,26/11/1999,AA,DOM,Expired/Matured,0,6.12,USD,Senior Note,100000,51000000,51000000,0,27/11/2000,0,USD,Aa2,06/12/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628497585,4296457498,,,02/12/1999,AA,DOM,Expired/Matured,0,6.19,USD,Senior Note,100000,50000000,50000000,0,04/12/2000,0,USD,Aa2,08/12/1999,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628507577,4296457498,,,10/01/2000,AA,DOM,Expired/Matured,0,6.47,USD,Senior Note,100000,50000000,50000000,0,10/01/2001,0,USD,Aa2,10/01/2000,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628508593,4296457498,,,18/01/2000,AA,DOM,Expired/Matured,0,6.48,USD,Senior Note,100000,100000000,100000000,0,18/01/2001,0,USD,Aa2,18/01/2000,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628508600,4296457498,,,18/01/2000,AA,DOM,Expired/Matured,0,6.47,USD,Senior Note,100000,55000000,55000000,0,18/01/2001,0,USD,Aa2,18/01/2000,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628508601,4296457498,,,18/01/2000,AA,DOM,Expired/Matured,0,6.48,USD,Senior Note,100000,60000000,60000000,0,18/01/2001,0,USD,Aa2,18/01/2000,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628509840,4296457498,,,07/02/2000,AA,DOM,Expired/Matured,0,6.69,USD,Senior Note,100000,200000000,200000000,0,07/02/2001,0,USD,Aa2,07/02/2000,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628509841,4296457498,,,07/02/2000,AA,DOM,Expired/Matured,0,6.7,USD,Senior Note,100000,125000000,125000000,0,07/02/2001,0,USD,Aa2,07/02/2000,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628510097,4296457498,,,11/02/2000,AA,DOM,Expired/Matured,0,6.7,USD,Senior Note,100000,100000000,100000000,0,12/02/2001,0,USD,Aa2,23/02/2000,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628631871,4296457498,,,10/10/2000,,,Expired/Matured,0,6.72,USD,Senior Note,100000,500000000,500000000,0,10/10/2001,0,USD,Aa2,23/02/2000,No Permission,,4296457498,Senior Unsecured,AA,10/10/2000,No Permission,A1,WD,,No universe defined.
15628687530,4296457498,,,28/06/2001,,,Expired/Matured,0,3.805,USD,Senior Note,100000,100000000,100000000,0,26/07/2002,0,USD,Aa2,28/06/2001,No Permission,,4296457498,Senior Unsecured,AA,28/06/2001,No Permission,A1,WD,,No universe defined.
15628687531,4296457498,,,28/06/2001,,,Expired/Matured,0,3.805,USD,Senior Note,100000,50000000,50000000,0,28/06/2002,0,USD,Aa2,28/06/2001,No Permission,,4296457498,Senior Unsecured,AA,28/06/2001,No Permission,A1,WD,,No universe defined.
15629005070,4296457498,,100,11/06/1998,,,Expired/Matured,0,5.72,USD,Senior Note,1000,500000000,500000000,0,11/06/1999,0,USD,Aa2,11/06/1998,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15629050387,4296457498,,100,13/12/1994,,,Expired/Matured,2,7.35,USD,Senior Note,1000,100000000,100000000,0,20/12/1995,0,USD,NR,13/12/1994,No Permission,,4296457498,Senior Unsecured,,,No Permission,A1,WD,,No universe defined.
15628346275,4295909138,,99.861,01/07/1993,,,Expired/Matured,2,4.7,USD,Senior Note,1000,300000000,300000000,0,01/07/1996,0,USD,A2,14/06/1995,No Permission,,4295909138,Senior Unsecured,,,No Permission,WR,WD,,No universe defined.
15628395439,4295909138,,99.844,06/10/1997,,,Expired/Matured,2,6,USD,Senior Note,1000,100000000,100000000,0,30/09/1999,0,USD,A1,12/05/1999,No Permission,,4295909138,Senior Unsecured,,,No Permission,WR,WD,,No universe defined.
15628405725,4295909138,,99.851,11/05/1998,,,Expired/Matured,2,5.85,USD,Senior Note,1000,200000000,200000000,0,11/05/2000,0,USD,A1,12/05/1999,No Permission,,4295909138,Senior Unsecured,,,No Permission,WR,WD,,No universe defined.
15628423692,4297599861,,,12/02/1997,,,Expired/Matured,0,5.3,USD,Senior Note,,50000000,50000000,0,20/03/1997,0,USD,Aa2,12/02/1997,No Permission,,4297599861,Senior Unsecured,,,No Permission,Baa1,WD,,No universe defined.
15628423693,4297599861,,,13/02/1997,,,Expired/Matured,0,5.3,USD,Senior Note,,200000000,200000000,0,14/03/1997,0,USD,Aa2,13/02/1997,No Permission,,4297599861,Senior Unsecured,,,No Permission,Baa1,WD,,No universe defined.
15628423694,4297599861,,,13/02/1997,,,Expired/Matured,0,5.3,USD,Senior Note,,50000000,50000000,0,17/03/1997,0,USD,Aa2,13/02/1997,No Permission,,4297599861,Senior Unsecured,,,No Permission,Baa1,WD,,No universe defined.
15628423695,4297599861,,,14/02/1997,,,Expired/Matured,0,5.3,USD,Senior Note,,50000000,50000000,0,15/04/1997,0,USD,Aa2,14/02/1997,No Permission,,4297599861,Senior Unsecured,,,No Permission,Baa1,WD,,No universe defined.
15628423697,4297599861,,,05/03/1997,,,Expired/Matured,0,5.3,USD,Senior Note,,110000000,110000000,0,04/04/1997,0,USD,Aa2,05/03/1997,No Permission,,4297599861,Senior Unsecured,,,No Permission,Baa1,WD,,No universe defined.
15628423698,4297599861,,,06/03/1997,,,Expired/Matured,0,5.3,USD,Senior Note,,100000000,100000000,0,07/04/1997,0,USD,Aa2,06/03/1997,No Permission,,4297599861,Senior Unsecured,,,No Permission,Baa1,WD,,No universe defined.
15628423699,4297599861,,,13/03/1997,,,Expired/Matured,0,5.31,USD,Senior Note,,100000000,100000000,0,14/04/1997,0,USD,Aa2,13/03/1997,No Permission,,4297599861,Senior Unsecured,,,No Permission,Baa1,WD,,No universe defined.
15628423700,4297599861,,,02/04/1997,,,Expired/Matured,0,5.59,USD,Senior Note,,75000000,75000000,0,05/05/1997,0,USD,Aa2,02/04/1997,No Permission,,4297599861,Senior Unsecured,,,No Permission,Baa1,WD,,No universe defined.
15628423701,4297599861,,,03/04/1997,,,Expired/Matured,0,5.55,USD,Senior Note,,50000000,50000000,0,05/05/1997,0,USD,Aa2,03/04/1997,No Permission,,4297599861,Senior Unsecured,,,No Permission,Baa1,WD,,No universe defined.
15628423702,4297599861,,,25/04/1997,,,Expired/Matured,0,5.52,USD,Senior Note,,200000000,200000000,0,27/05/1997,0,USD,Aa2,25/04/1997,No Permission,,4297599861,Senior Unsecured,,,No Permission,Baa1,WD,,No universe defined.
15628423706,4297599861,,,02/05/1997,,,Expired/Matured,0,5.63,USD,Senior Note,,100000000,100000000,0,01/07/1997,0,USD,Aa2,02/05/1997,No Permission,,4297599861,Senior Unsecured,,,No Permission,Baa1,WD,,No universe defined.
