CommonName,PrimaryRIC,OAPermID,CountryHeadquarters,Ticker,PrimaryRICExchangeCode,PrimaryRICTickerSymbol,IsPublic,BondsCount
JPMorgan Chase & Co,JPM,5000021791,USA,JPM,NYQ,JPM,True,1423
Bank of America Corp,BAC,8589934339,USA,BAC,NYQ,BAC,True,852
Wells Fargo & Co,WFC,8589934175,USA,WFC,NYQ,WFC,True,450
HSBC Holdings PLC,HSBA.L,8589934275,GBR,HSBA,LSE,HSBA,True,125
Royal Bank of Canada,RY.TO,8589934213,CAN,RY,TOR,RY,True,5848
Toronto-Dominion Bank,TD.TO,4295862902,CAN,TD,TOR,TD,True,5988
Commonwealth Bank of Australia,CBA.AX,4295856152,AUS,CBA,ASX,CBA,True,1225
Mitsubishi UFJ Financial Group Inc,8306.T,5000000933,JPN,MTFGI,TYO,8306,True,131
BNP Paribas SA,BNPP.PA,8589934326,FRA,BNPP,PAR,BNP,True,3388
Bank of Montreal,BMO.TO,4295860596,CAN,BMO,TOR,BMO,True,10130
Banco Santander SA,SAN.MC,8589934205,ESP,SAN,MCE,SAN,True,515
Sumitomo Mitsui Financial Group Inc,8316.T,4295878766,JPN,SUMFG,TYO,8316,True,101
Bank of Nova Scotia,BNS.TO,4295860592,CAN,BNS,TOR,BNS,True,4616
National Australia Bank Ltd,NAB.AX,4295857405,AUS,NAB,ASX,NAB,True,742
US Bancorp,USB,8589934183,USA,USB,NYQ,USB,True,33
PNC Financial Services Group Inc,PNC,4295904676,USA,PNC,NYQ,PNC,True,24
ING Groep NV,INGA.AS,4295884647,NLD,INGA,AEX,INGA,True,77
Westpac Banking Corp,WBC.AX,4295856627,AUS,WBC,ASX,WBC,True,631
Intesa Sanpaolo SpA,ISP.MI,4295875735,ITA,ISP,MIL,ISP,True,476
UniCredit SpA,CRDI.MI,4295875726,ITA,CRDI,MIL,UCG,True,190
Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,4295889577,ESP,BBVA,MCE,BBVA,True,129
Truist Financial Corp,TFC,4295903505,USA,TFC,NYQ,TFC,True,32
Nordea Bank Abp,NDAFI.HE,5060588378,FIN,NDAFI,HEX,NDA FI,True,1058
Mizuho Financial Group Inc,8411.T,4295878505,JPN,MZFG,TYO,8411,True,93
Canadian Imperial Bank of Commerce,CM.TO,4295860600,CAN,CM,TOR,CM,True,8432
Lloyds Banking Group PLC,LLOY.L,8589934254,GBR,LLOY,LSE,LLOY,True,80
Barclays PLC,BARC.L,8589934333,GBR,BARC,LSE,BARC,True,95
DNB Bank ASA,DNB.OL,5000042454,NOR,DNB,OSL,DNB,True,396
Caixabank SA,CABK.MC,4295889572,ESP,CABKX,MCE,CABK,True,132
Kbc Groep NV,KBC.BR,8589934262,BEL,KBC,BRU,KBC,True,35
Natwest Group PLC,NWG.L,8589934212,GBR,NWG,LSE,NWG,True,43
Skandinaviska Enskilda Banken AB,SEBa.ST,8589934200,SWE,SEB,STO,SEB A,True,569
National Bank of Canada,NA.TO,4295862904,CAN,NA,TOR,NA,True,2061
Standard Chartered PLC,STAN.L,4295895205,GBR,STAN,LSE,STAN,True,103
Grupo Financiero Banorte SAB de CV,GFNORTEO.MX,4295884395,MEX,GFNOR,MEX,GFNORTEO,True,9
Deutsche Bank AG,DBKGn.DE,4295869482,DEU,DBKG,GER,DBK,True,1739
M&T Bank Corp,MTB,4295904442,USA,MTBX,NYQ,MTB,True,8
Societe Generale SA,SOGN.PA,5000039357,FRA,SOGN,PAR,GLE,True,4501
Swedbank AB,SWEDa.ST,8589934289,SWE,SWEDX,STO,SWED A,True,436
First Citizens BancShares Inc (Delaware),FCNCA.O,5001113817,USA,FCNCA,NSQ,FCNCA,True,5
Danske Bank A/S,DANSKE.CO,8589934305,DNK,DANSK,CPH,DANSKE,True,527
Regions Financial Corp,RF,4295907751,USA,RF,NYQ,RF,True,9
Svenska Handelsbanken AB,SHBa.ST,8589934190,SWE,SHB,STO,SHB A,True,401
Huntington Bancshares Inc,HBAN.O,4295906733,USA,HBAN,NSQ,HBAN,True,15
Erste Group Bank AG,ERST.VI,8589934296,AUT,ERST,VIE,EBS,True,941
Commerzbank AG,CBKG.DE,8589934314,DEU,CBKG,GER,CBK,True,346
KB Financial Group Inc,105560.KS,4295881997,KOR,KBFNG,KSC,105560,True,69
Citizens Financial Group Inc,CFG,4296419629,USA,CFG,NYQ,CFG,True,18
Sumitomo Mitsui Trust Holdings Inc,8309.T,4295878477,JPN,MITBK,TYO,8309,True,19
Shinhan Financial Group Co Ltd,055550.KS,4295881976,KOR,SHING,KSC,055550,True,102
Powszechna Kasa Oszczednosci Bank Polski SA,PKO.WA,4295886629,POL,PKO,WSE,PKO,True,3
Resona Holdings Inc,8308.T,4295878431,JPN,RESHD,TYO,8308,True,7
Banco de Chile,CHILE.SN,4295863540,CHL,CHILX,SGO,CHILE,True,324
Aib Group PLC,AIBG.I,5059082241,IRL,AIBG,ISE,A5G,True,17
Bank of Ireland Group PLC,BIRG.I,5056415510,IRL,BIRG,ISE,BIRG,True,19
KeyCorp,KEY,4295904371,USA,KEY,NYQ,KEY,True,14
Mediobanca Banca di Credito Finanziario SpA,MDBI.MI,4295875731,ITA,MDBI,MIL,MB,True,117
OTP Bank Nyrt,OTPB.BU,4295872091,HUN,OTPB,BUD,OTP,True,23
Santander Bank Polska SA,SPL1.WA,4295886478,POL,SPLA,WSE,SPL,True,6
Banco Santander-Chile,BSANTANDER.SN,4295863439,CHL,BSANT,SGO,BSANTANDER,True,443
Banque Cantonale Vaudoise,BCVN.S,4295890966,CHE,BCVN,SWX,BCVN,True,9
FinecoBank Banca Fineco SpA,FBK.MI,5000042928,ITA,FBK,MIL,FBK,True,4
Mizrahi Tefahot Bank Ltd,MZTF.TA,4295875096,ISR,MZTF,TLV,MZTF,True,1
Hana Financial Group Inc,086790.KS,4295882718,KOR,HNGRP,KSC,086790,True,54
Bank of Ireland,BKIRx.L,8589934337,IRL,BKIR,LSE,,True,17
New York Community Bancorp Inc,NYCB.K,4295907709,USA,NYCB,NYQ,NYCB,True,4
