Exchange Date,Close
02-Jan-03,25.39
03-Jan-03,24.68
06-Jan-03,24.91
07-Jan-03,25.13
08-Jan-03,25.53
09-Jan-03,24.25
10-Jan-03,24.32
13-Jan-03,24.9
14-Jan-03,24.57
15-Jan-03,25.51
16-Jan-03,25.01
17-Jan-03,25.7
21-Jan-03,27.59
22-Jan-03,29.01
23-Jan-03,27.53
24-Jan-03,31.51
27-Jan-03,34.69
28-Jan-03,31.93
29-Jan-03,31.26
30-Jan-03,31.32
31-Jan-03,31.17
03-Feb-03,31.02
04-Feb-03,32.76
05-Feb-03,33.04
06-Feb-03,33.35
07-Feb-03,34.01
10-Feb-03,33.99
11-Feb-03,33.68
12-Feb-03,34.33
13-Feb-03,33.7
14-Feb-03,32.62
18-Feb-03,31.11
19-Feb-03,31.31
20-Feb-03,31.16
21-Feb-03,30.25
24-Feb-03,31.98
25-Feb-03,31.74
26-Feb-03,31.94
27-Feb-03,30.53
28-Feb-03,29.63
03-Mar-03,30.43
04-Mar-03,31.83
05-Mar-03,30.38
06-Mar-03,31.37
07-Mar-03,31.08
10-Mar-03,33.31
11-Mar-03,33.61
12-Mar-03,33.51
13-Mar-03,31.76
14-Mar-03,30.98
17-Mar-03,31.75
18-Mar-03,30.43
19-Mar-03,31.54
20-Mar-03,30.44
21-Mar-03,28.67
24-Mar-03,30.39
25-Mar-03,28.75
26-Mar-03,28.23
27-Mar-03,27.96
28-Mar-03,27.75
31-Mar-03,29.15
01-Apr-03,28.36
02-Apr-03,28.02
03-Apr-03,28.21
04-Apr-03,29.13
07-Apr-03,28.45
08-Apr-03,27.13
09-Apr-03,27.11
10-Apr-03,25.6
11-Apr-03,24.44
14-Apr-03,23.41
15-Apr-03,22.56
16-Apr-03,22.52
17-Apr-03,21.5
21-Apr-03,21.95
22-Apr-03,20.7
23-Apr-03,20.8
24-Apr-03,20.33
25-Apr-03,20.8
28-Apr-03,20.84
29-Apr-03,20.76
30-Apr-03,21.21
01-May-03,21.59
02-May-03,20.63
05-May-03,21.13
06-May-03,20.8
07-May-03,21
08-May-03,21.24
09-May-03,19.69
12-May-03,19.52
13-May-03,19.91
14-May-03,20
15-May-03,19.24
16-May-03,18.4
19-May-03,20.51
20-May-03,21.29
21-May-03,21.21
22-May-03,19.78
23-May-03,19.17
27-May-03,19.99
28-May-03,20.03
29-May-03,20.43
30-May-03,19.47
02-Jun-03,20.85
03-Jun-03,20.84
04-Jun-03,20.62
05-Jun-03,20.83
06-Jun-03,21.25
09-Jun-03,22.15
10-Jun-03,20.64
11-Jun-03,20.21
12-Jun-03,20.41
13-Jun-03,20.66
16-Jun-03,20.22
17-Jun-03,20.01
18-Jun-03,19.76
19-Jun-03,19.8
20-Jun-03,19.14
23-Jun-03,20.58
24-Jun-03,20.75
25-Jun-03,20.81
26-Jun-03,19.4
27-Jun-03,19.16
30-Jun-03,19.52
01-Jul-03,19.46
02-Jul-03,19.03
03-Jul-03,19.39
07-Jul-03,20.06
08-Jul-03,19.48
09-Jul-03,18.93
10-Jul-03,19.19
11-Jul-03,18.47
14-Jul-03,19.59
15-Jul-03,19.55
16-Jul-03,19.76
17-Jul-03,20.22
18-Jul-03,19.11
21-Jul-03,19.78
22-Jul-03,19.17
23-Jul-03,18.64
24-Jul-03,18.6
25-Jul-03,17.75
28-Jul-03,18.36
29-Jul-03,18.67
30-Jul-03,18.85
31-Jul-03,19.49
01-Aug-03,20.75
04-Aug-03,21.27
05-Aug-03,22.68
06-Aug-03,21.5
07-Aug-03,20.26
08-Aug-03,19.59
11-Aug-03,19.75
12-Aug-03,17.94
13-Aug-03,18.77
14-Aug-03,18.47
15-Aug-03,18.27
18-Aug-03,18.18
19-Aug-03,17.86
20-Aug-03,17.82
21-Aug-03,17.84
22-Aug-03,18.55
25-Aug-03,19.53
26-Aug-03,19.49
27-Aug-03,19.13
28-Aug-03,18.48
29-Aug-03,18.63
02-Sep-03,19.02
03-Sep-03,19.44
04-Sep-03,18.71
05-Sep-03,18.17
08-Sep-03,18.26
09-Sep-03,18.85
10-Sep-03,20.01
11-Sep-03,19.25
12-Sep-03,18.68
15-Sep-03,19.28
16-Sep-03,18.03
17-Sep-03,18.15
18-Sep-03,17.57
19-Sep-03,17.54
22-Sep-03,19.65
23-Sep-03,19.47
24-Sep-03,21.22
25-Sep-03,22.26
26-Sep-03,22.23
29-Sep-03,21.67
30-Sep-03,22.72
01-Oct-03,21.07
02-Oct-03,20.8
03-Oct-03,19.5
06-Oct-03,19.51
07-Oct-03,19.41
08-Oct-03,19.18
09-Oct-03,18.82
10-Oct-03,18.45
13-Oct-03,17.55
14-Oct-03,17.37
15-Oct-03,17.69
16-Oct-03,17.19
17-Oct-03,17.62
20-Oct-03,17.04
21-Oct-03,16.55
22-Oct-03,17.67
23-Oct-03,17.68
24-Oct-03,17.71
27-Oct-03,18.05
28-Oct-03,16.82
29-Oct-03,16.43
30-Oct-03,16.33
31-Oct-03,16.1
03-Nov-03,16.55
04-Nov-03,16.55
05-Nov-03,16.86
06-Nov-03,16.74
07-Nov-03,16.93
10-Nov-03,17.62
11-Nov-03,17.54
12-Nov-03,16.75
13-Nov-03,16.47
14-Nov-03,16.94
17-Nov-03,18.6
18-Nov-03,19.11
19-Nov-03,18.8
20-Nov-03,19.48
21-Nov-03,18.98
24-Nov-03,17.44
25-Nov-03,16.71
26-Nov-03,16.23
28-Nov-03,16.32
01-Dec-03,16.77
02-Dec-03,16.27
03-Dec-03,16.63
04-Dec-03,16.3
05-Dec-03,17.09
08-Dec-03,16.54
09-Dec-03,17.63
10-Dec-03,17.87
11-Dec-03,16.73
12-Dec-03,16.41
15-Dec-03,17.23
16-Dec-03,15.93
17-Dec-03,15.58
18-Dec-03,16.16
19-Dec-03,16.42
22-Dec-03,16.94
23-Dec-03,16.49
24-Dec-03,16.66
26-Dec-03,17.45
29-Dec-03,17.09
30-Dec-03,17.68
31-Dec-03,18.31
02-Jan-04,18.22
05-Jan-04,17.49
06-Jan-04,16.73
07-Jan-04,15.5
08-Jan-04,15.61
09-Jan-04,16.75
12-Jan-04,16.82
13-Jan-04,18.04
14-Jan-04,16.75
15-Jan-04,15.56
16-Jan-04,15
20-Jan-04,15.21
21-Jan-04,14.34
22-Jan-04,14.71
23-Jan-04,14.84
26-Jan-04,14.55
27-Jan-04,15.35
28-Jan-04,16.78
29-Jan-04,17.14
30-Jan-04,16.63
02-Feb-04,17.11
03-Feb-04,17.34
04-Feb-04,17.87
05-Feb-04,17.71
06-Feb-04,16
09-Feb-04,16.39
10-Feb-04,15.94
11-Feb-04,15.39
12-Feb-04,15.31
13-Feb-04,15.58
17-Feb-04,15.4
18-Feb-04,15.59
19-Feb-04,15.8
20-Feb-04,16.04
23-Feb-04,16.29
24-Feb-04,15.9
25-Feb-04,14.93
26-Feb-04,14.83
27-Feb-04,14.55
01-Mar-04,14.44
02-Mar-04,14.86
03-Mar-04,14.55
04-Mar-04,14.4
05-Mar-04,14.48
08-Mar-04,15.79
09-Mar-04,16.6
10-Mar-04,18.67
