Country,Country Code,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,,,,,,,,,,,,,,,,,,,,34,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Austria,AUT,,,,,,,,,,,,,,,,,,,,34,34,34,34,34,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24
Belgium,BEL,,,,,,,,,,,,,,,,,,,,39,39,39,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,29,29,25,25,25,25
Canada,CAN,,,,,,,,,,,,,,,,,,,,29.12,28.12,26.12,24.12,22.12,22.12,22.12,22.12,19.5,19,18,16.5,15,15,15,15,15,15,15,15,15,15,15,15
Chile,CHL,,,,,,,,,,,,,,,,,,,,15,15,16,16.5,17,17,17,17,17,17,17,20,20,20,21,22.5,24,25.5,27,27,27,27,27,27
Colombia,COL,,,,,,,,,,,,,,,,,,,,35,35,35,36.75,38.5,38.5,38.5,34,33,33,33,33,33,34,34,39,40,40,37,33,32,31,35,35
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,31,31,31,31,28,26,24,24,21,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Denmark,DNK,,,,,,,,,,,,,,,,,,,,32,30,30,30,30,28,28,25,25,25,25,25,25,25,24.5,23.5,22,22,22,22,22,22,22,22
Estonia,EST,,,,,,,,,,,,,,,,,,,,26,26,26,26,26,24,23,22,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,20
Finland,FIN,,,,,,,,,,,,,,,,,,,,29,29,29,29,29,26,26,26,26,26,26,26,24.5,24.5,20,20,20,20,20,20,20,20,20,20
France,FRA,,,,,,,,,,,,,,,,,,,,37.77,36.43,35.43,35.43,35.43,34.93,34.43,34.43,34.43,34.43,34.43,36.1,36.1,38,38,38,34.43,44.43,34.43,34.43,32.02,28.41,25.83,25.83
Germany,DEU,56,56,56,56,56,56,56,56,56,50,51.88,51.88,50,45,48.38,48.38,48.38,47.48,42.2,42.2,26.38,26.38,27.96,26.38,26.38,26.38,26.38,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83
Greece,GRC,,,,,,,,,,,,,,,,,,,,40,37.5,35,35,35,32,29,25,25,25,24,20,20,26,26,29,29,29,29,24,24,22,22,22
Hungary,HUN,,,,,,,,,,,,,,,,,,,,18,18,18,18,16,16,17.33,20,20,20,19,19,19,19,19,19,19,9,9,9,9,9,9,9
Iceland,ISL,,,,,,,,,,,,,,,,,,,,30,30,18,18,18,18,18,18,15,15,18,20,20,20,20,20,20,20,20,20,20,20,20,20
Ireland,IRL,,,,,,,,,,,,,,,,,,,,24,20,16,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
Israel,ISR,,,,,,,,,,,,,,,,,,,,36,36,36,36,35,34,31,29,27,26,25,24,25,25,26.5,26.5,25,24,23,23,23,23,23,23
Italy,ITA,,,,,,,,,,,,,,,,,,,,37,36,36,34,33,33,33,33,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,24,24,24,24,24,24,24
Japan,JPN,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,28.05,28.05,23.9,23.9,23.4,23.4,23.2,23.2,23.2,23.2,23.2,23.2
Korea,KOR,,,,,,,,,,,,,,,,,,,,28,28,27,27,27,25,25,25,25,22,22,22,22,22,22,22,22,22,25,25,25,25,25,24
Latvia,LVA,,,,,,,,,,,,,,,,,,,,25,25,22,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,20,20
Lithuania,LTU,,,,,,,,,,,,,,,,,,,,24,24,15,15,15,15,19,18,15,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15
