Country,Country Code,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AUS,6245.992541,6939.246847,7396.879985,7727.601527,8553.932397,9456.681329,10478.42327,11956.49197,11988.84395,12781.12566,13609.04002,14514.10737,14983.68619,16053.05751,17129.65948,17835.12296,17838.09814,18177.56368,19157.69096,20184.94601,21432.77545,22442.31684,23289.40183,24477.4138,25708.26383,27139.2482,28312.85944,29546.41501,30807.51408,32391.48624,34000.17377,35659.12549,37938.79208,39687.44861,40130.34169,41672.92375,42816.42896,44440.57948,43884.6356,47763.2159,47606.75493,47226.75975,50136.79838,50706.48986,53025.3869,52785.25056,55772.74108,62095.40433,70011.35139
Austria,AUT,5772.030257,6300.403784,6963.323109,7768.711478,8304.353702,9491.2402,10527.76435,11477.98,12423.32151,13315.23977,13803.55697,14589.05163,15215.69933,15793.56575,16865.67611,18126.30828,19473.07213,20617.57916,21293.2684,21732.87118,22642.84157,23698.10309,24560.61534,25426.66191,26675.64969,27606.48424,29381.67283,29708.48945,31178.05144,32158.45953,33784.4468,35024.55748,37662.88804,39437.0388,41316.02264,40927.55637,42019.00589,44469.20964,46477.65508,47936.67796,48813.53441,49942.05629,52665.08746,54188.36067,56956.11056,59719.61201,57258.8183,59991.43985,67743.16308
Belgium,BEL,5820.509456,6257.95034,6964.187919,7434.877379,8177.32807,9056.634417,10306.58821,11242.31239,11998.17467,12500.66056,13269.73804,13912.6834,14448.64177,15130.5697,16347.8311,17514.42708,18687.47653,19598.86732,20269.28147,20470.68388,21518.50415,22447.0519,22743.89471,23732.78985,24369.50124,25441.89139,27790.60631,28792.40134,30281.66799,30934.8233,32063.68722,33176.68088,35256.77598,36794.81141,37883.23342,37751.63406,39836.53341,40943.34348,42290.47767,43672.71229,44929.93333,46201.68589,48599.20268,50442.94752,52530.84151,55804.71363,54544.41924,58845.53093,64896.33407
Canada,CAN,6640.800015,7261.291122,8006.039296,8701.626955,9565.933831,10639.66738,11701.44294,13086.8217,13293.39329,14034.0055,15254.72707,16332.75302,16850.72864,17735.38015,18923.75376,19763.4839,20229.75282,20224.6806,20626.20898,21440.05255,22632.83127,23485.64344,24050.17614,25259.72536,26319.93026,27841.62958,29362.28957,30231.00503,30963.22201,32350.07088,33925.89256,36327.66206,38120.17679,39575.32497,40376.33017,38865.40602,40099.49789,41666.71885,42290.87908,44298.51446,45753.78294,44670.05437,46472.36877,48317.19116,49992.81142,49832.41454,47226.35728,53023.40578,58347.67695
Chile,CHL,,,,,,,,,,,,,3362.599084,3609.868118,3942.703346,4454.710337,4714.046069,5166.520616,5827.459668,6270.747048,6653.874731,7388.386052,7970.381483,8589.098315,8927.892867,8909.771365,9440.041965,9845.972269,10205.70405,10779.63867,11682.59953,12600.90582,15589.15751,16771.18275,16449.61427,16028.54954,18041.31431,20235.57035,21458.81233,22295.74002,22650.7124,22563.58218,23384.61238,24479.45873,25496.43105,25509.44548,24738.72058,28070.41325,29866.27717
Colombia,COL,,,,,,,,,,,,3027.615083,3200.509326,3392.548012,3595.731969,3790.734674,5126.493455,5338.114425,5585.122998,5930.380472,6284.421448,6646.387322,6767.940573,7000.196798,7022.024884,6658.492888,6886.405819,7068.835584,7265.177903,7604.164565,8127.579576,8676.107355,9433.241822,10228.18801,10651.50663,10720.91429,11206.22183,12108.23485,12530.80765,13266.00215,13777.24196,13762.75091,14514.22439,14930.86572,15814.69639,16484.7628,15614.98948,17644.50703,20841.3779
Czech Republic,CZE,,,,,,,,,,,,,,,,,12689.11978,11655.36124,11850.10236,12123.45956,12735.73921,13855.32503,14689.5825,14825.32895,14977.24085,15397.92282,16211.0435,17611.3585,18245.66901,19524.39962,20912.05468,22045.99888,23857.51826,26224.94217,27853.5499,27635.95647,27766.98355,28999.75476,29258.90485,30828.52641,32504.21758,33909.30924,36101.2856,38842.89627,41157.37041,44223.29575,42817.8675,44813.00263,49122.31709
Denmark,DNK,5774.161237,6198.669555,6909.512326,7452.578194,8128.810159,9120.602377,9884.854587,10752.29473,11846.50471,12639.97542,13649.59254,14639.30369,15645.10193,16050.79497,16604.9977,17360.53657,18247.65083,19075.69097,19826.83225,20228.54988,21691.16589,22711.7946,23746.21915,24928.30267,25820.591,26657.82737,28672.3303,29452.76071,30639.95369,30825.22559,32948.16657,34152.88166,37333.84624,39021.41193,41282.99547,40332.51663,43006.15052,44407.94207,44808.54921,46742.93966,47905.47708,49058.14234,51967.02044,55356.49009,57479.35022,59884.11738,60768.06049,66117.72851,74859.41655
Estonia,EST,,,,,,,,,,,,,,,,,,,,5745.760245,5906.11504,6428.705843,6845.25294,7942.676789,8408.654726,8479.421302,9394.096157,10282.2802,11628.29595,13090.44604,14496.5298,16584.41109,19288.35304,22161.32026,22780.0071,20459.91317,21588.7722,24515.48857,25946.94489,27418.68964,28917.83366,29222.74808,31310.1521,33867.80354,36488.63742,39068.36707,39460.61477,43505.07486,47152.17975
Finland,FIN,5098.885262,5647.170762,5960.383792,6328.210968,6951.138934,8043.324299,9213.877106,10174.78205,11077.10877,11799.07991,12553.33993,13354.12252,13952.9228,14767.34297,16039.03215,17452.57779,18146.8262,17560.06396,17271.02624,17478.77846,18479.62947,19587.66433,20087.76134,21794.5932,23577.48687,24767.16397,26789.92566,27801.0654,28605.12292,29053.04207,31201.7603,32051.76289,34452.67619,37843.27008,40083.70194,37972.4577,38954.13178,40916.64733,40872.8548,41492.91842,41749.86473,42490.21105,44934.48825,47570.27035,49573.25577,51811.59933,52294.34249,54772.85885,59462.72292
France,FRA,5498.938847,5923.027636,6495.114782,7105.392108,7873.155534,8790.586168,9685.833943,10655.19713,11527.33489,12062.20014,12624.89023,13169.62858,13678.85342,14298.38247,15415.75365,16616.74661,17645.96453,18341.9879,18965.75695,19209.67338,20008.0989,20782.66588,21362.73266,22247.33925,23363.97596,24311.40386,26099.7352,27499.54157,28528.15611,28178.57676,29065.21527,30504.05878,32472.77381,34132.69768,35102.87043,34686.47966,35910.19585,37447.94954,37684.19807,39528.47364,40144.05949,40829.89331,42855.94456,44445.59677,46336.93399,50222.23284,47828.52854,51011.83694,55043.42626
Germany,DEU,5703.685883,6201.537245,6898.392869,7586.991712,8373.848531,9442.3089,10413.74911,11442.63665,12114.44395,12821.75411,13707.76342,14503.62726,15129.85843,15715.71663,16787.49217,17995.92576,19480.55735,21006.91685,21755.46889,21932.07973,22879.40387,23672.89333,24211.20042,24730.82707,25532.74858,26510.2287,27456.26277,28663.89535,29504.28924,30270.99225,31741.87573,32236.74099,34664.54191,36863.11335,38432.44821,37465.45632,39675.00238,42541.51313,43359.54105,44993.66784,47011.2804,47609.55716,50579.48372,53071.47837,55195.72205,57397.47398,56482.37727,58799.01245,63409.43497
Greece,GRC,4603.75129,5300.786856,5896.819695,6349.767815,7194.555896,7947.758628,8638.449587,9226.614123,9625.30187,9837.127793,10345.50792,10898.61864,11138.73561,11118.40278,11961.12392,12834.62909,13221.93759,13974.51719,14288.44838,14314.16882,14844.88609,15433.23856,16149.8757,17155.79879,18034.12576,18464.72645,19519.97802,20958.78032,22615.95744,23897.75535,25460.56138,25577.44544,28547.21888,29323.90949,30855.93577,30359.4466,27911.57449,25671.40912,24911.13028,25986.6407,26625.1593,26760.2808,27511.8032,28604.82915,29617.51863,31155.9468,28416.52303,31297.16457,36794.85158
Hungary,HUN,,,,,,,,,,,,,,,,,,8347.615239,8293.871626,8466.151321,8930.40706,9192.590411,9352.284675,9824.818359,10398.34352,10873.24787,11855.46468,13210.45775,14526.38825,15479.02677,16268.93879,17108.3406,18382.55859,19096.70549,20721.50241,20722.88694,21741.54592,23029.44718,23267.44839,24547.98046,25691.52734,26798.85423,27941.92675,29496.16375,31908.86343,34645.56538,34169.92236,36773.31394,41906.7941
Iceland,ISL,6244.414435,6781.64557,7508.846854,8612.884769,9696.267149,10905.6629,12441.32527,14036.83019,15017.36312,15073.7685,16095.62031,17016.05095,18310.24034,20138.53659,20503.1831,21120.23304,21989.39375,22399.82413,21874.49399,22454.9108,23565.56104,23961.64244,24777.21399,26895.63188,28747.69147,29576.84157,29785.3663,31867.3852,32598.37602,32725.87277,35552.37688,37427.93497,39630.18692,41490.77992,43456.21676,41772.67999,39778.39158,40938.66455,42006.54335,44404.73159,45995.00169,49203.29499,53486.61577,55638.49198,57201.17334,59601.93154,54298.42211,58198.48779,69390.14676
Ireland,IRL,3519.941766,3995.744209,4206.912471,4770.188045,5403.291364,5934.696628,6605.319478,7379.61505,7929.25843,8161.072048,8763.675501,9288.203438,9432.009606,10113.08916,11053.51228,12227.40482,13774.80343,14433.09381,15131.09823,15822.27149,17033.10406,18984.72342,20545.55525,22697.18869,25083.07922,27041.4282,30218.7761,32594.17983,35222.81925,36280.53598,38761.42778,40465.31651,44268.55287,46766.18381,44105.36448,41436.94184,43211.90286,45132.17589,46304.78419,47836.18565,51296.92985,69305.5388,71505.74628,78252.20562,85034.72855,89759.23889,94646.64076,108831.3652,127146.2652
Israel,ISR,,,,,,,,,,,,,,,,,,,,,,20497.52054,21555.83496,22187.59665,22796.28633,23274.79906,25627.71729,25670.07321,25962.20434,24559.38846,25951.20238,25510.65449,26207.59691,28025.23282,27833.89162,27916.34872,29309.6374,31172.65097,32336.08856,34755.38228,34755.76451,35877.11497,38220.11912,39464.35342,40247.08838,40950.35029,40222.66706,44052.10677,49507.06034
Italy,ITA,5334.056969,5672.336805,6379.020487,6919.411656,7618.888337,8717.441657,9810.672065,10814.99217,11523.89356,12110.86298,12949.67567,13729.02424,14405.27789,15231.14021,16421.84351,17630.65437,18638.24989,19545.58643,20150.12707,20439.35129,21320.51011,22395.61994,23058.96764,23875.77083,25021.68091,25602.38648,27077.6477,28036.30276,28721.07628,29154.66384,29481.85369,30028.48898,32309.29422,33960.78871,35292.60186,34335.92538,34838.13577,36203.32852,36091.37396,36267.92535,36475.97606,37206.33182,40267.22262,41951.46633,43427.66314,45799.74192,43144.40416,46686.42376,51790.41158
Japan,JPN,4812.870739,5355.131154,5809.31007,6378.376732,7121.897178,8068.34118,8973.783444,10168.27325,11073.01818,11843.83871,12730.49637,13725.84924,14390.87736,15359.19472,16890.32731,18348.32229,19891.09158,21204.241,21800.91847,22149.2197,22834.75171,23865.91364,25009.68209,25629.42066,25520.19654,25744.91658,27289.85193,27946.08314,28633.69892,29411.59288,30837.17542,32174.40011,33638.84126,35021.73222,35278.74985,33550.68955,35342.82472,36215.00627,37628.67599,39436.68259,39559.76347,40908.78155,40642.70453,41531.22162,42264.58512,42427.12508,41867.15339,42895.14654,45637.64272
Korea,KOR,1048.844987,1215.208903,1428.597512,1678.187382,1962.941483,2275.356423,2402.301405,2776.532293,3144.913567,3651.020351,4130.54515,4550.154481,5116.42119,5852.103004,6718.788433,7402.41363,8355.387935,9474.577826,10184.84682,11030.61911,12187.12939,13502.58004,14693.99328,15721.56197,14974.49879,16807.01302,18538.87931,19724.49424,21396.71919,22096.02308,23773.59083,25186.6381,26884.4294,29064.70197,29945.89922,29508.28276,31736.70016,32546.51773,33557.03045,34244.23949,35324.2603,37902.36102,39575.30208,40957.34706,43044.34015,43410.15296,44694.9398,46875.17867,49895.01246
