Country Name,Country Code,1970-01-01,1971-01-01,1972-01-01,1973-01-01,1974-01-01,1975-01-01,1976-01-01,1977-01-01,1978-01-01,1979-01-01,1980-01-01,1981-01-01,1982-01-01,1983-01-01,1984-01-01,1985-01-01,1986-01-01,1987-01-01,1988-01-01,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01
Australia,AUS,-1.528286932,-1.495016611,-1.961020453,-0.826679036,-3.445323903,-4.293992729,-4.171344227,-5.069580613,-4.759538867,-3.151302642,-3.325741515,-3.724069693,-5.690301462,-6.075794163,-5.779814176,-5.190867202,-3.51732471,-1.783282497,-1.046214837,-2.179843245,-3.333172822,-5.817065882,-6.163179398,-4.414503419,-4.215710794,-3.011752072,-1.224336541,0.184650894,0.629880204,1.954965567,-1.291561984,-0.742956005,0.706620456,0.793983465,0.927317429,1.598351794,1.580837355,0.655470494,-3.838301509,-5.641184126,-4.559917033,-4.627657022,-2.84810003,-2.783378175,-2.23753392,-2.224081741,-1.585146473,-1.210386213,-1.383634035,-7.013995153,-9.162192808,-4.270109235,
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,-6.133971278,-4.503615848,-2.575791199,-2.696226841,-2.595886654,-2.404702329,-0.661575545,-1.381174923,-1.786425452,-4.804986015,-2.508349601,-2.535448127,-1.354622684,-1.495265332,-5.329706203,-4.441267059,-2.553565994,-2.189070595,-1.950077521,-2.729148208,-1.009988607,-1.534591163,-0.81611835,0.170146401,0.567510791,-7.987888909,-5.775902208,-3.198540131
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,-4.508356965,-4.00252745,-2.151257354,-1.024873637,-0.648349453,-0.07929747,0.232848557,-0.043695305,-1.864152301,-0.238697095,-2.714993278,0.239580626,0.066439884,-1.09534487,-5.430989099,-4.087706095,-4.330078267,-4.318382328,-3.129377927,-3.055682174,-2.413670796,-2.36311262,-0.683833124,-0.869860459,-1.984013825,-8.998245864,-5.483053348,-3.884768249
Canada,CAN,,,,,,,,,,,,-2.892294996,-6.898328357,-7.998034729,-7.940067448,-8.757327104,-7.321648976,-5.745765545,-4.510969957,-4.718283329,-5.911422126,-8.359398267,-9.199149263,-8.934764945,-6.935977535,-5.489640113,-3.05256596,0.038702165,0.142682776,1.655576247,2.639703961,0.529468967,-0.233895789,-0.126957865,0.767669538,1.553120098,1.827604363,1.819655807,0.184485477,-3.881351769,-4.737558582,-3.308732553,-2.524517007,-1.494758567,0.17489616,-0.061845591,-0.453312335,-0.112162665,0.350945464,-0.01728935,-10.91039838,-4.38138394,-0.813686259
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,-1.858955695,-2.01475613,-2.333263373,-1.305270217,-1.570645221,0.281967573,0.207575138,-1.746969168,-1.359106112,-1.391233819,-0.645829102,0.846512112,1.575889312,1.933603636,0.497601255,0.353915183,0.683409661,0.235231939,-0.43256638,-0.247108563,0.545515747,0.238305522,1.13047758,1.290389265,1.341105752,-3.059396956,-0.540009155,
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.921488206,4.807175066,-4.660545556,-0.469195783,0.947324562,0.340495748,-0.607868197,-1.763850075,-2.295335531,-2.741895593,-2.925094208,-1.273130513,-3.436601857,-7.335301744,-7.341379985,
Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.520135638,-1.557373612,-1.714328387,-0.455772064,-0.721329256,-0.806712495,-0.477849773,-0.400896015,-1.527112015,-3.11494384,-3.39620625,-4.55531604,-3.79642596,-5.244328001,-4.084926627,-8.770002666,-7.821909699,
Costa rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.40798938,-1.390905126,-1.949407925,-1.129831263,-1.29021659,-2.193337606,0.123959212,0.945898405,-2.068787608,-3.261615234,-6.410553282,-5.059615176,-1.731254559,-2.614251015,-1.410251954,-2.436736402,-2.302226618,-3.451455528,-2.887415055,-3.089402312,-5.314061715,-0.996428314,
Czech republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,-12.37124962,-3.004884502,-3.174897921,-4.173050101,-3.128163861,-3.575635642,-5.759548002,-6.351361696,-6.858023441,-2.369538651,-3.026569568,-2.150143265,-0.644844856,-1.964203559,-5.411347589,-4.152000942,-2.700351498,-3.897100256,-1.283886714,-2.075491409,-0.643817651,0.711776193,1.50140596,0.892517707,0.288509121,-5.766481799,-5.084995753,-3.647132298
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,-9.432231435,-3.570402523,-2.942100298,-2.566892704,-1.719220386,-1.584664476,-3.025444871,-3.874993176,-3.704201088,-3.334158372,-3.319436615,-1.653152096,0.26088696,-0.116356239,-3.150511299,-4.378646077,-0.881398595,0.009324994,0.039980792,0.579552713,0.960550926,1.160351417,1.336083938,1.949902688,1.530924837,-4.332903627,-3.727410287,-2.61828471
Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,-3.620031991,-2.482574628,-1.200213529,-0.38853696,0.868853785,1.887315011,1.140554208,-0.015387113,-0.133147614,2.073172872,4.955030541,4.987100072,5.020458128,3.17390813,-2.798142422,-2.710271475,-2.055766615,-3.490444397,-1.235647188,1.144427653,-1.329629842,-0.105986872,1.78626149,0.760390381,4.131625532,0.379979956,4.056800102,3.440192516
Spain,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,-6.788496444,-5.862801332,-3.856967886,-2.624853191,-1.239166525,-1.16076073,-0.454926083,-0.316722522,-0.375062635,-0.109490283,1.231564543,2.124079644,1.88621705,-4.572251048,-11.27591944,-9.526628377,-9.739575451,-11.55072621,-7.528140636,-6.110450432,-5.308916122,-4.297571831,-3.116408543,-2.593659224,-3.060265128,-10.12523379,-6.87297923,-4.805637522
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,1.04835074,-0.347828923,2.121144743,-0.756798773,-3.299492757,-0.06805317,0.198938937,0.418020653,1.795429434,2.394282507,1.124896094,2.89042688,2.740630681,-2.647721226,-2.190795053,0.189945086,1.085310457,-0.286883474,0.180320389,0.707793298,0.113419562,-0.411993616,-0.475379009,-0.552980985,0.120656698,-5.46878193,-2.424875558,-0.926994688
Finland,FIN,,,,,,4.93015731,7.609063483,6.254731276,3.82755814,3.398652835,3.702053065,5.106785405,3.053524286,1.518261015,3.228582117,3.335908662,3.828178585,1.625908205,5.09234519,6.729459431,5.317780538,-0.904498326,-5.32778184,-8.085592943,-6.495939349,-5.924971334,-3.246377947,-1.214724702,1.638527815,1.667244477,6.853461544,4.976214841,4.05694813,2.423739201,2.209652427,2.651696855,3.971150454,5.108193637,4.176768847,-2.484222573,-2.53371106,-1.019202214,-2.155822063,-2.524948488,-2.98747686,-2.425432268,-1.69825026,-0.653996226,-0.854528788,-0.948477849,-5.570539158,-2.992188745,-0.846826726
France,FRA,,,,,,,,,-1.796824577,-0.482157656,-0.428536645,-2.40752179,-2.836913321,-2.540767887,-2.735951798,-2.972459677,-3.197413196,-2.01429234,-2.564376929,-1.782231043,-2.43397061,-2.863044504,-4.601218586,-6.358794486,-5.422899361,-5.108542995,-3.905879422,-3.65283417,-2.378437395,-1.602927625,-1.318422681,-1.379274477,-3.16028993,-4.01553721,-3.590570293,-3.355559897,-2.443685608,-2.636296205,-3.26373483,-7.174779051,-6.886721673,-5.154760881,-4.980984334,-4.084094523,-3.904659346,-3.62517467,-3.637256398,-2.958417093,-2.288954541,-3.064650778,-9.012724256,-6.477277907,-4.724966351
United kingdom,GBR,,,,,,,,,,,,,,,,,,,,,-1.90100914,-3.093063525,-6.043857953,-7.378195763,-6.394156705,-5.164715495,-3.814506978,-2.202207239,-0.427688262,0.616290763,1.335339733,0.317552341,-1.976978888,-3.230436422,-3.187196808,-3.168522259,-2.789242801,-2.674874757,-5.150629853,-10.07402625,-9.228526012,-7.409877714,-8.013992194,-5.375930822,-5.573625463,-4.609999594,-3.309141814,-2.490733849,-2.256362954,-2.475665089,-13.11185944,-7.975611454,-4.685341184
Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,-9.730979547,-8.15826266,-6.056026225,-6.268433569,-5.793462652,-4.0630872,-5.466055745,-6.024075591,-7.830423452,-8.827879771,-6.187942655,-5.94597758,-6.707074634,-10.17602394,-15.21507338,-11.39726065,-10.50818306,-9.098599556,-13.37359007,-3.68943143,-5.854774497,0.184533368,0.572628967,0.932847843,0.883550128,-9.700378424,-7.141339265,-2.272266721
