Country,Country Code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,74.57546654,73.42681527,74.7238632,74.23951833,73.0430276,72.63507098,72.7079788,72.00842123,71.72971393,13812.50485,14911.99582,16042.17948,15874.94687,16612.37754,16025.76825,17564.38815,17587.47091,17800.52077,18538.90528,18836.099,19608.46547,22165.18707,24758.28521,24752.05984,
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,111.6121483,111.2487844,104.5442132,104.4484802,104.1230248,102.0659767,102.7114195,102.1086093,102.5419984,107.4102244,102.3110457,100.7598709,19518.90824,20705.68797,22268.42959,22308.43957,22735.24383,23905.03606,24861.48534,25698.26185,25638.38297,26470.25265,26812.84777,27867.95529,29163.70651,32626.70209,33739.78057,36254.34
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,105.2890625,106.1044739,103.2038608,101.9191501,100.9937782,98.79653509,98.7589607,99.80695751,102.0947709,98.63782626,103.7239032,97.57897472,17965.76618,19336.89096,20752.23146,21570.98637,22754.09897,23997.60517,24619.73282,25092.17976,24926.84924,25920.99551,26349.67062,27559.81028,29066.99351,32254.37255,32718.55765,35243.79
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15570.27,15983.17,17211.2,17605.1,17659.81,17645.37,18061.3,17916.24,18239.95,19315.91,19936.85,20727.43,20632.88,25324.12,24748.55,24103.17
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,66.69449383,67.93063803,67.91804683,67.37279988,68.67793225,66.59757909,65.20488162,70.10847269,68.41392129,67.85786359,66.50054532,62.78078557,15369.27734,16541.21831,17303.52933,17653.9166,18672.09851,19496.07819,20801.93872,21162.88211,22005.26753,22745.69401,23053.01287,23386.32028,24234.51553,27305.58541,27776.74373,
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3290.19,3494.33,3884.85,4262.13,4676.77,4992.34,5318.887952,5598.046719,5874.614163,6191.736597,6452.661782,6682.914351,7103.259102,7584.767271,9650.895594,
Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3788.53,3864.95,4159.117205,4228.780329,4587.430912,4967.649842,5490.613406,6281.030983,6283.175454,6285.072402,6706.715051,7074.110656,7451.461052,8137.117984,8599.14676,
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3810.52,4593.64,4493.66,5227.36,5468.23,4654.220647,5063.466148,5382.67969,5728.442542,6293.259084,6806.7838,7195.151864,7919.268309,8143.756508,9709.32,
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,106.4210747,83.39351266,83.19705899,83.76388281,82.33865946,81.69396079,86.61973087,89.31639082,98.23861004,84.64809284,84.73956515,82.9210047,10685.94771,11465.08719,12347.31482,12201.98999,12610.68531,13160.79017,13233.72034,13939.21412,14303.43826,14430.13204,15218.95017,16788.86924,18237.49781,20312.50756,20934.39739,22277.43
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,110.2340851,98.83812676,97.13668001,96.29054517,96.4241459,95.51550669,94.83250021,95.74308955,96.60838228,93.58299595,93.64159576,90.47059218,16084.55546,17075.34901,18154.87067,19196.48326,19335.58684,19566.05597,20312.01877,20916.01605,21103.66219,22522.58745,23532.75031,24551.92199,25913.57157,28572.55634,30238.65567,31861
