Country,Country Code,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AUS,5.083333,6.983333,13.15833,8.525,9.24,10.2125,9.843333,9.773334,12.0275,15.03833,16.83417,12.19917,12.1,15.9825,16.45167,13.75,12.8,17.61167,14.54333,10.22583,6.465833,5.151667,5.656667,7.725833,7.151667,5.395833,5.001667,5.011667,6.1775,4.899167,4.746666,4.895833,5.478333,5.644166,5.988333,6.6675,6.973333,3.434167,4.683333,4.848333,3.728333,2.7775,2.6775,2.255833,1.986667,1.74,1.948333,1.344167,0.2566667,0.02833333,1.636667
Austria,AUT,,,,,,,,,,,,,,,,,,,8.964167,9.463333,9.46,7.023334,5.1175,4.568333,3.373333,3.4975,3.600833,2.9635,4.391767,4.261783,3.318592,2.333467,2.106325,2.184675,3.079225,4.277608,4.634233,1.228358,0.81095,1.3906,0.5731834,0.2206667,0.2099333,-0.01936667,-0.2636917,-0.32905,-0.3220917,-0.3563333,-0.42515,-0.5487667,0.3415667
Belgium,BEL,3.829167,6.2875,10.29583,6.795833,9.891666,7.054167,7.129167,11.0125,14.02917,15.27083,13.97083,10.4,11.42083,9.516666,8.083333,7.054167,6.729167,8.8,9.633333,9.3825,9.370833,8.224167,5.695,4.783333,3.216667,3.436667,3.558333,2.9635,4.391767,4.261783,3.318592,2.333467,2.106325,2.184675,3.079225,4.277608,4.634233,1.228358,0.81095,1.3906,0.5731834,0.2206667,0.2099333,-0.01936667,-0.2636917,-0.32905,-0.3220917,-0.3563333,-0.42515,-0.5487667,0.3415667
Canada,CAN,5.098042,7.301333,10.55437,8.02375,9.276542,7.492917,8.71375,11.96133,13.12896,18.37563,14.37521,9.465834,11.22208,9.596042,9.187917,8.409583,9.61,12.17675,13.02129,9.110209,6.677083,5.102958,5.487709,7.130799,4.449064,3.557645,5.068404,4.915108,5.698482,4.003615,2.623688,2.964421,2.311883,2.806772,4.177135,4.625115,3.340618,0.6938224,0.7758598,1.169322,1.159862,1.164424,1.172978,0.822647,0.8163781,1.061357,1.790603,1.890311,0.6354551,0.2092456,2.557997
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.034037,2.731143,0.9987352,0.2079853,0.3918192,0.7244314,1.456766,2.352159,1.747376,0.09388217,0.1670194,-0.006584417,-0.04468375,-0.04866817,0.0036705,-0.7307373,-0.8043817,-0.8191667,-0.7846233,-0.7520567,-0.6932642,-0.7393333,-0.1266667
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,16.41208,10.955,10.7575,7.233333,3.925,2.7675,1.83,3.530833,4.825833,5.179167,7.236667,1.746667,2.07,4.93625,,,,,3.528889,2.516111,2.657917,2.678333,,1.836667,9.211667
Colombia,COL,,,,,,,,,,,,,,,31.36167,30.79,33.45917,33.7275,36.44083,37.225,26.67167,25.8325,29.41583,32.33833,31.13833,24.12833,32.58333,21.32833,12.14667,12.435,8.938334,7.803333,7.798333,7.014167,6.274167,8.014167,9.741667,6.144166,3.661667,4.206666,5.354167,4.239167,4.068333,4.578333,6.781667,5.989167,4.709167,4.498333,3.378333,2.0725,8.499166
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.564312,5.326087,5.130435,4.123492,5.471797,6.54185,6.57614,4.131198,2.120833,3.5975
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,13.15,9.1075,10.94583,12.015,15.99917,14.33333,6.853333,5.365833,5.173333,3.549167,2.275833,2.361667,2.009167,2.3,3.0975,4.0375,2.191667,1.313333,1.19,0.9975,0.4566667,0.3566667,0.3083333,0.2891667,0.4075,1.269167,2.116667,0.8575,1.126667,6.28
Germany,DEU,5.610833,12.1425,9.9025,4.959167,4.248333,4.365,3.7,6.686666,9.536667,12.105,8.878333,5.776667,5.985833,5.448333,4.635,4.0325,4.330833,7.118333,8.488334,9.246667,9.5175,7.295,5.364167,4.531667,3.305,3.325,3.544167,2.9635,4.391767,4.261783,3.318592,2.333467,2.106325,2.184675,3.079225,4.277608,4.634233,1.228358,0.81095,1.3906,0.5731834,0.2206667,0.2099333,-0.01936667,-0.2636917,-0.32905,-0.3220917,-0.3563333,-0.42515,-0.5487667,0.3415667
Denmark,DNK,,,,,,,,,,,,,,,,10.10833,8.591598,9.402513,11.17801,9.91804,11.69776,10.86824,6.302278,6.202783,3.983449,3.731128,4.272079,3.437819,4.997201,4.702664,3.543719,2.423354,2.195047,2.224245,3.180477,4.441652,5.262557,2.499274,1.248442,1.383979,0.6200195,0.2713604,0.3149578,-0.1233188,-0.1442461,-0.2637579,-0.2992443,-0.3719969,-0.2405625,-0.2300674,0.615516
Spain,ESP,,,,,,15.52241,17.5905,15.52008,16.52266,16.17766,16.2815,20.04957,14.89783,12.22442,11.65775,15.82208,11.65033,15.03633,15.15158,13.22675,13.342,11.68808,8.0085,9.355166,7.495,5.373333,4.242,2.9635,4.391767,4.261783,3.318592,2.333467,2.106325,2.184675,3.079225,4.277608,4.634233,1.228358,0.81095,1.3906,0.5731834,0.2206667,0.2099333,-0.01936667,-0.2636917,-0.32905,-0.3220917,-0.3563333,-0.42515,-0.5487667,0.3415667
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,8.046667,8.604167,13.87167,7.829167,5.678333,5.313334,3.88,2.9125,2.495833,2.378333,3.160833,4.87,6.664166,5.926667,1.57,1.3906,0.5731834,0.2206667,0.2099333,-0.01936667,-0.2636917,-0.32905,-0.3220917,-0.3563333,-0.42515,-0.5487667,0.3415667
Finland,FIN,,,,,,,,,,,,,,,,10.0325,9.965834,12.55667,13.99667,13.07917,13.25167,7.773334,5.35,5.75,3.625,3.231667,3.568333,2.9635,4.391767,4.261783,3.318592,2.333467,2.106325,2.184675,3.079225,4.277608,4.634233,1.228358,0.81095,1.3906,0.5731834,0.2206667,0.2099333,-0.01936667,-0.2636917,-0.32905,-0.3220917,-0.3563333,-0.42515,-0.5487667,0.3415667
